SKU,Images,Meta: bacola_post_views_count,Meta: klb_product_badge_type,Meta: _alg_wc_wholesale_pricing_per_product_enabled,Meta: _alg_wc_wholesale_pricing_discount_type,Meta: _alg_wc_wholesale_pricing_levels_number,Meta: send_coupons_on_renewals,Meta: _klb_single_video_input,Meta: _monsterinsights_sitenote_active,Meta: om_disable_all_campaigns,Image Source URL,Saved Filename,Status
AEF911,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/hotpeppersauce-3oz.jpg,30.0,type1,no,percent,0.0,no,,0.0,,,,
99614B,,4.0,,,,,,,,,,,
9E43F2,,3.0,,,,,,,,,,,
77B4DF,,6.0,,,,,,,,,,,
83EDE2,,2.0,,,,,,,,,,,
A8CD3B,,,,,,,,,,,,,
419EB0,,4.0,,,,,,,,,,,
F6F721,,8.0,,,,,,,,,,,
03B844,,10.0,,,,,,,,,,,
70468B,,3.0,,,,,,,,,,,
D39F54,,6.0,,,,,,,,,,,
1557D8,,6.0,,,,,,,,,,,
D71CD3,,11.0,,,,,,,,,,,
6F680B,,5.0,,,,,,,,,,,
4B58A8,,10.0,,,,,,,,,,,
FE6B52,,9.0,,,,,,,,,,,
A71ED7,,9.0,,,,,,,,,,,
E42D8B,,1.0,,,,,,,,,,,
4FFA07,,1.0,,,,,,,,,,,
2C0DC2,,8.0,,,,,,,,,,,
E543B3,,0.0,,,,,,,,,,,
B08669,,4.0,,,,,,,,,,,
40B073,,2.0,,,,,,,,,,,
4C48DB,,4.0,,,,,,,,,,,
350085,,5.0,,,,,,,,,,,
8C07D1,,9.0,,,,,,,,,,,
D11546,,11.0,,,,,,,,,,,
3B6286,,9.0,,,,,,,,,,,
83E28A,,5.0,,,,,,,,,,,
E8B0E7,,8.0,,,,,,,,,,,
C72789,,7.0,,,,,,,,,,,
40249A,,11.0,,,,,,,,,,,
140D54,,4.0,,,,,,,,,,,
93937D,,1.0,,,,,,,,,,,
7A1C6D,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/05/GraceClassicMackerel.jpeg,35.0,type1,no,percent,0.0,no,,0.0,,,,
E931B7,,5.0,,,,,,,,,,,
48BCB4,,5.0,,,,,,,,,,,
E2EA32,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/carib-choice-jack-mackerel.jpg,49.0,type1,no,percent,0.0,no,,0.0,,,,
C604A2,,14.0,,,,,,,,,,,
4BE02D,,5.0,,,,,,,,,,,
1E4A23,,17.0,,,,,,,,,,,
C2CBDE,,16.0,,,,,,,,,,,
F64B58,,4.0,,,,,,,,,,,
05C852,,8.0,,,,,,,,,,,
B10C89,,13.0,,,,,,,,,,,
AABAD4,,3.0,,,,,,,,,,,
A80143,,7.0,,,,,,,,,,,
8E8F77,,5.0,,,,,,,,,,,
09D060,,13.0,,,,,,,,,,,
D25A7E,,10.0,,,,,,,,,,,
6791F7,,35.0,,,,,,,,,,,
B90AF3,,4.0,,,,,,,,,,,
CECF27,,8.0,,,,,,,,,,,
A7275E,,3.0,,,,,,,,,,,
CF8E71,,6.0,,,,,,,,,,,
B2FA75,,4.0,,,,,,,,,,,
19697D,,5.0,,,,,,,,,,,
605801,,6.0,,,,,,,,,,,
DC340C,,2.0,,,,,,,,,,,
3E8749,,4.0,,,,,,,,,,,
681046,,0.0,,,,,,,,,,,
ED0316,,4.0,,,,,,,,,,,
660EDF,,3.0,,,,,,,,,,,
85D521,,8.0,,,,,,,,,,,
A151C7,,6.0,,,,,,,,,,,
FDE442,,,,,,,,,,,,,
5AE0E8,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/Colgate-SML-2.5oz70g72.jpg,34.0,type1,no,percent,0.0,no,,0.0,,,,
995AA4,,2.0,,,,,,,,,,,
9FFC24,,3.0,,,,,,,,,,,
224071,,8.0,,,,,,,,,,,
90BEAE,,0.0,,,,,,,,,,,
1A663E,,1.0,,,,,,,,,,,
36B234,,11.0,,,,,,,,,,,
CF2163,,7.0,,,,,,,,,,,
232CB2,,16.0,,,,,,,,,,,
61A6F8,,14.0,,,,,,,,,,,
854450,,6.0,,,,,,,,,,,
18C8C1,,4.0,,,,,,,,,,,
507180,,2.0,,,,,,,,,,,
E9C3C2,,3.0,,,,,,,,,,,
517889,,13.0,,,,,,,,,,,
9C3AE5,,7.0,,,,,,,,,,,
2C2AF9,,25.0,,,,,,,,,,,
2CF7C7,,2.0,,,,,,,,,,,
545891,,6.0,,,,,,,,,,,
380CAC,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/2KG-Daawat-Basmati-Rice.jpg,32.0,type1,no,percent,0.0,no,,0.0,,,,
97EFE6,,7.0,,,,,,,,,,,
D16DA9,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/bulk-white-rice-min.jpg,38.0,type1,no,percent,0.0,no,,0.0,,,,
AEE1B9,,24.0,,,,,,,,,,,
54F727,,11.0,,,,,,,,,,,
CF54DA,,10.0,,,,,,,,,,,
5F4D95,,31.0,,,,,,,,,,,
9F0D1B,,7.0,,,,,,,,,,,
46027A,,24.0,,,,,,,,,,,
E7C05C,,15.0,,,,,,,,,,,
7EB80F,,23.0,,,,,,,,,,,
67277B,,28.0,,,,,,,,,,,
