SKU,Images,"Meta: bacola_post_views_count","Meta: klb_product_badge_type","Meta: _alg_wc_wholesale_pricing_per_product_enabled","Meta: _alg_wc_wholesale_pricing_discount_type","Meta: _alg_wc_wholesale_pricing_levels_number","Meta: send_coupons_on_renewals","Meta: _klb_single_video_input","Meta: _monsterinsights_sitenote_active","Meta: om_disable_all_campaigns"
2C2AF9,,25,,,,,,,,
2CF7C7,,2,,,,,,,,
545891,,6,,,,,,,,
380CAC,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/2KG-Daawat-Basmati-Rice.jpg,32,type1,no,percent,0,no,,0,
97EFE6,,7,,,,,,,,
D16DA9,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/bulk-white-rice-min.jpg,38,type1,no,percent,0,no,,0,
AEE1B9,,24,,,,,,,,
54F727,,11,,,,,,,,
CF54DA,,10,,,,,,,,
5F4D95,,31,,,,,,,,
9F0D1B,,7,,,,,,,,
46027A,,24,,,,,,,,
E7C05C,,15,,,,,,,,
7EB80F,,23,,,,,,,,
67277B,,28,,,,,,,,
6DD1BC,,28,,,,,,,,
41CC3D,,34,,,,,,,,
469B97,,19,,,,,,,,
0CA3B8,,10,,,,,,,,
63507E,,5,,,,,,,,
31D54D,,9,,,,,,,,
BEFBBF,,5,,,,,,,,
DB624B,,6,,,,,,,,
561EEF,,8,,,,,,,,
02B126,,2,,,,,,,,
A3F05B,,11,,,,,,,,
8A2D63,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/05/betapac-curry-box.jpeg,23,type1,no,percent,0,no,,0,
6F4C67,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/02/SERGE-ISLAND-MILK-330ml.jpg,79,type1,no,percent,0,no,,0,
912151,,12,,,,,,,,
50704B,,9,,,,,,,,
A6E764,,8,,,,,,,,
3B41FD,,12,,,,,,,,
EF98E9,,4,,,,,,,,
AE4B17,,6,,,,,,,,
FE07B0,,4,,,,,,,,
FCD10F,,13,,,,,,,,
2906A8,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/1Litre-FiWi-Choice-Retail-Oil.jpg,50,type1,no,percent,0,no,,0,
3A4072,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2022/12/2-Ltr-Lider-Oil-8.jpg,69,type1,no,percent,0,no,,0,
217F24,,5,,,,,,,,
B76017,,11,,,,,,,,
6228A8,,11,,,,,,,,
1C8CCD,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2023/08/Miracle_Full_Cream_Milk_1L__69319_zoom.jpg,63,type1,no,percent,0,no,,0,
7DE61B,,6,,,,,,,,
5C0B6E,,7,,,,,,,,
069C1D,,3,,,,,,,,
3B48F9,,8,,,,,,,,
5F8C14,,3,,,,,,,,
0AF30C,,14,,,,,,,,
9C6467,,5,,,,,,,,
D6571D,,4,,,,,,,,
616342,,1,,,,,,,,
BA99C4,,9,,,,,,,,
F96736,,3,,,,,,,,
91627F,,4,,,,,,,,
FFA820,,15,,,,,,,,
D26F2D,,14,,,,,,,,
A23375,,7,,,,,,,,
198AC2,,13,,,,,,,,
87533F,,7,,,,,,,,
A202F3,,8,,,,,,,,
841496,http://harbourstreet.gibbotrading.com/wp-content/uploads/sites/2/2026/01/2.5oz-Colgate-Triple-Act-70g.png,8,type1,no,percent,0,no,,0,
9257B8,,1,,,,,,,,
23521E,,12,,,,,,,,
F4E18C,,10,,,,,,,,
3FD522,,12,,,,,,,,
89EC8B,,9,,,,,,,,
226FBA,,6,,,,,,,,
49DD3D,,34,,,,,,,,
808952,,6,,,,,,,,
70935F,,11,,,,,,,,
1BE019,,9,,,,,,,,
5D3F85,,11,,,,,,,,
8CF00E,,7,,,,,,,,
7ACD3D,,7,,,,,,,,
33D267,,7,,,,,,,,
F60388,,3,,,,,,,,
C4F054,,8,,,,,,,,
5F5C88,,8,,,,,,,,
