SKU,Original Name,Similarity Score,Image Source URL,Saved Filename,Status
DDBE2F,12oz Covebay HOT Cups No Lid 40*25,81.35593220338984,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2022/12/12oz-Covebay-HOT-Cups-50.jpg,12oz_Covebay_HOT_Cups_No_Lid_4025.jpg,Success
94EB9E,12oz Covebay HOT Cups with Lids 10*25s,88.88888888888889,https://windwardroad.gibbotrading.com/wp-content/uploads/sites/3/2024/06/3.png,12oz_Covebay_HOT_Cups_with_Lids_1025s.jpg,Success
082080,12oz Covebay Smoothie Cup w/o Lid 20*50,0,,,Failed
025C8E,12oz Creme of Nature Condition,0,,,Failed
623A1B,12oz Creme of Nature Shampoo,90.19607843137256,https://i5.walmartimages.com/asr/e0808bf9-12da-45da-b978-03e56d32eedb_1.f72917a9bcdbd8ee73720c3dba00d98a.jpeg?odnWidth=1000&odnHeight=1000&odnBg=ffffff,12oz_Creme_of_Nature_Shampoo.jpg,Success
FA043D,12oz EVE Kernel Corn *24*340G,0,,,Failed
99614B,12oz Grace Tin INST Choc Mix *24,0,,,Failed
9E43F2,12oz Green Party Cup 20*50s,0,,,Failed
77B4DF,12oz HTB. Long Spice Bun 12oz,84.84848484848484,https://ordazcart.com/public/uploads/all/sL6uohs48kX8gqNGfbN6nnQdZGeiMTP67zqwCNDL.jpg,12oz_HTB_Long_Spice_Bun_12oz.jpg,Success
83EDE2,12oz Jif Creamy Pnut butter *12,83.33333333333334,https://www.sanadeeg.com/storage/products/jif-creamy-peanut-butter-12-oz2-3-1.jpg,12oz_Jif_Creamy_Pnut_butter_12.jpg,Success
A8CD3B,12oz JIF Extra Crunchy Peanut Butter 340g *12,81.57894736842105,https://contenthandler-raleys.fieldera.com/prod/106521/1/0/0/60658601-Planogram-Left.jpg,12oz_JIF_Extra_Crunchy_Peanut_Butter_340g_12.jpg,Success
419EB0,12oz Kids White Rain Body Wash,80.0,https://cdn.shopify.com/s/files/1/0179/4028/3492/products/80921900048-1_1000x1000.jpg?v=1653442381,12oz_Kids_White_Rain_Body_Wash.jpg,Success
F6F721,12oz Lasco Chocolate Mix *24,84.0,https://mastermacfood.com/wp-content/uploads/2021/11/LASCO-INSTANT-CHOCOLATE-MIX-WITH-NUTMEG-12oz.jpg,12oz_Lasco_Chocolate_Mix_24.jpg,Success
03B844,12oz Lucky Body Wash,100.0,https://d374ldsqhyfnza.cloudfront.net/product/2024/05/08100500000020210391f9c5f6cfac70c16860d1cbd5.jpg,12oz_Lucky_Body_Wash.jpg,Success
70468B,12oz Pet Cold Smoothie Cup w/out Lid 50s*20,0,,,Failed
D39F54,12oz Plast Eco Cup 50*20,0,,,Failed
